orig_index,Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées,CombinedArtists,is_jury,paired_competitons,comp_id
945,"Concours pour un hôtel de la Banque Populaire Suisse, à Zürich",,,,,,Zürich,,Zurich,1919-11-01,1920-03-31,,"Ouvert par la BPS entre les architectes suisses établis dans le canton de Zürich et domiciliés dans le canton avant le 1er janvier 1919. Montant total des primes 35'000.-, plus 2'000.- pour chaque achat","Suter, Rudolf;Risch, Martin;Bernoulli, Hans;Künzli, N;Widmer, Friedrich;Weilenmann, J.-J;Maag;Hochuli, A","Juré;Juré;Juré;Juré;Juré;Juré, suppléant;Juré, président;Secrétaire, assiste",,,"[array(['Suter, Rudolf'], dtype=object)
 array(['Risch, Martin'], dtype=object)
 array(['Bernoulli, Hans'], dtype=object)
 array(['Künzli, N'], dtype=object)
 array(['Widmer, Friedrich'], dtype=object)
 array(['Weilenmann, J.-J'], dtype=object) array(['Maag'], dtype=object)
 array(['Hochuli, A'], dtype=object)]",False,[2062 2063],945
946,"Concours pour une garderie d'enfants avec classes enfantines et aménagement d'une place de jeux pour enfants, à Montelly, Lausanne",,"Montelly, chemin de",,,,Lausanne,,Vaud,1961-11-01,1962-03-30,A. communal,Ouvert par la Municipalité entre les architectes domiciliés ou établis sur le territoire de la commune et les architectes employés dont l'emploxyeur n'est pas concurrent et donne son autorisation. La collaboration avec des architectes-paysagistes peut être admise et reconnue. MOntant des prix 10'000.- et 2'000.- pour des achats. Pas d'indication de composition du jury dans le BTSR,,,,,,False,[2077],946
947,"Concours pour le Plan d'aménagement du quartier de la Maladière, entre la route cantonale et le lac, à Neuchâtel, jugement",,"Maladière, route cantonale de la","Agassiz, rue","Saars, les",,Neuchâtel,,Neuchâtel,1906-12-01,,,"Rapport du jury BTSR 1906, p. 288. 19 projets reçus dans les délais. 1er prix 500.-  2e prix 300.-  3e prix 200.-, une mention honorable. Après la délibération du jury et sur proposition de la Commission des travaux publics, le conseil communal décidera l'acquisition de deux projets, ceux de MM. de Bosset et Max de Rham","Hindermann, H;Reimann, Hans +;Hippenmeier, K & +;Hippenmeier, J & +;Châble, Gustave &;Bovet, Edouard &;Rordorf, David &;Rordorf, frère 2 &;Bosset, Henri de;Rham, Maximilien de",2e prix;3e prix;3e prix;3e prix;3e prix;3e prix;Mention honorable;Mention honorable;2e prix;Achat ultérieur,,,"[array(['Hindermann, H'], dtype=object)
 array(['Reimann, Hans', 'Hippenmeier, K &', 'Hippenmeier, J &',
        'Châble, Gustave', 'Bovet, Edouard', 'Rordorf, David',
        'Rordorf, frère 2', 'Bosset, Henri de'], dtype=object)
 array(['Rham, Maximilien de'], dtype=object)]",True,[1694],947
948,"Concours pour l'aménagement du quartier de Villamont et de la place du Faucon, jugement",,"Etraz, rue","Faucon, place du","Marterey, rue",,Lausanne,,Vaud,1924-12-01,,,"Extrait du rapport du jury 1925 p.76, 89 et 117. Voir aussi BTSR 1926 p.94. Huit projets remis dans les délais. Pas de premier prix, ""aucun des projets destinés à être primés...ne peut servir de base aux études définitives et ne révèle chez leur auteur une conviction ou un tempérament qui s'impose"". Description du plan élaboré par la suite BTSR 1926 p.94;2e prix 2'600.-  3e prix 2'400.-  4e prix 1'800.-  Un achat 1'200.-","Andréen, Charles;Oulevey, Oscar;Epitaux, Georges;Laverrière, Alphonse",2e prix;Suppléant;Juré;,,,"[array(['Andréen, Charles'], dtype=object)
 array(['Oulevey, Oscar'], dtype=object)
 array(['Epitaux, Georges'], dtype=object)
 array(['Laverrière, Alphonse'], dtype=object)]",True,[ 163 1792 1793],948
949,"Concours pour l'aménagement du quartier de Villamont et de la place du Faucon, jugement",Urbanisme,"Etraz, rue","Faucon, place du","Marterey, rue",,Lausanne,,Vaud,1924-12-01,,,"Extrait du rapport du jury 1925 p.76, 89 et 117. Voir aussi BTSR 1926 p.94. Huit projets remis dans les délais. Pas de premier prix, ""aucun des projets destinés à être primés...ne peut servir de base aux études définitives et ne révèle chez leur auteur une conviction ou un tempérament qui s'impose"". Description du plan élaboré par la suite BTSR 1926 p.94;2e prix 2'600.-  3e prix 2'400.-  4e prix 1'800.-  Un achat 1'200.-","Epitaux, Georges;Laverrière, Alphonse;Oulevey, Oscar;Andréen, Charles",Juré;;Suppléant;2e prix,0002.04.0154 ; 0002.04.0153,,"[array(['Epitaux, Georges'], dtype=object)
 array(['Laverrière, Alphonse'], dtype=object)
 array(['Oulevey, Oscar'], dtype=object)
 array(['Andréen, Charles'], dtype=object)]",True,[ 163 1792 1793],949
950,"Concours pour l'aménagement de la place de la gare, à Berne",,Bahnhofplatz,,,,Bern,Berne,Suisse,1928-12-01,1929-02-15,A.suis.et dom.s.,"Ouvert par la Municipalité, la direction du Bürgerspital et la Direction générale des CFF entre les architectes suisses domiciliés en Suisse depuis un an. Pas d'indication des résultats dans le BTSR, chercher dans SBZ. Récompenses prévues: 18'000.- et 3'000.-pour d'éventuels achats","Hippenmeier, Konrad;Reber, A;Blum, O;Grimm, R;Hoechel, Arnold;Hiller, Fritz;Nager, Théodore;Lindt, H;Gerster, Albert","Juré;Juré;Juré;Juré;2e prix;Juré;Juré;Juré, président;Juré, absent",,,"[array(['Hippenmeier, Konrad'], dtype=object)
 array(['Reber, A'], dtype=object) array(['Blum, O'], dtype=object)
 array(['Grimm, R'], dtype=object)
 array(['Hoechel, Arnold'], dtype=object)
 array(['Hiller, Fritz'], dtype=object)
 array(['Nager, Théodore'], dtype=object)
 array(['Lindt, H'], dtype=object)
 array(['Gerster, Albert'], dtype=object)]",False,[],950
951,"Concours pour l'agrandissement de l'asile St-Josefsheim, à La Souste(Loèche)",,,,,,Leuk,,Suisse,1928-12-01,1929-01-28,,Description du programme BTSR 1929 p.235. Ouvert par le Conseil d'administration de l'Asile des Pauvres et des Vieillards St-Josefsheim à La Souste (Loèche) entre tous les architectes suisses domiciliés en Suisse. Bayard est absent lors du deuxième jour de délibération,"Meyer, L;Bayard, A;Schmidt, Ch;Kalbermatten, Alphonse de;Fatio, Edmond",Juré;Juré;Juré;Juré;Juré,,,"[array(['Meyer, L'], dtype=object) array(['Bayard, A'], dtype=object)
 array(['Schmidt, Ch'], dtype=object)
 array(['Kalbermatten, Alphonse de'], dtype=object)
 array(['Fatio, Edmond'], dtype=object)]",False,[2048],951
952,"Concours pour l'aménagement d'une usine à gaz, à Sion",,,,,,Sion,,Suisse,1928-12-01,1929-01-15,,"Ouvert par la Commune"" entre les techniciens de l'industrie du gaz pour la construction et l'installation complète d'une usine à gaz destinée à desservir la région  Sion-Sierre-Chippis- Montana""  Récompenses: 3'000.- pour primer trois projets. Pas d'indication de composition du jury ni de résultats dans le BTSR",,,,,,False,[],952
953,"Concours pour la Station fédérale de recherches agronomiques à Changins, jugement",,,,,,Changins,,Suisse,1969-12-01,1969-12-05,,"Extraits du rapport du jury BTSR 1970 p.70. Vingt-quatre projets remis dans les délais. Délibération les 1,2,4 et 5 décembre. Les quatre premiers projets primés sont chargés, sur recommandation du jury, de développer des avant-projets qui sont rendus le 14 avril 1970 et examinés par le jury fonctionnant comme commission d'experts. Celui-ci propose de confier deux mandats: le premier à Edouard et Dominique Reverdin pour les laboratoires, bureaux, cave, halle, grange et serres, le second à Heidi et Peter Wenger pour les locaux communs, centre professionnel, internat, station d'énergie et ferme (BTSR 1970 p.161).  1er prix 14'000.-  2e prix 12'000.-  3e prix 11'000.-  4e prix 10'000.-  5e prix 8'000.-  6e prix 6'000.-  7e prix 5'000.-  8e prix 4'000.-  Quatre achats 2'500.- (Guth/Jenny; Guex/Kirchhoff/Bühler; Lozeron; Brugger)","Brugger, Frédéric;Lozeron, Arthur;Jenny, Jean-Marc +;Bühler, Bernard;Guex, Edmond +;Guth, François +;Kirchhoff, Gerd +;Reverdin, Dominique;Wenger, Peter &;Wenger, Heidi &;Raccoursier, Claude;Boschetti, Fonso;Urech, Jean-Daniel +;Zentner, Hansjörg +;Maillard, Marcel &;Maillard, Jacques &;Isler, Heinz;Reimann, Edouard +;Plüss, Werner +;Vuarraz, Serge, coll.;Girod, Charles-André, coll.;Frey, Gilbert +;Damay, Alfred +;Burky, Marcel +;Frey, Michel +;Montessuit, Jean +;Luscher, Rodolphe","Juré, suppléant;Mention spéciale;Achat;Achat;Achat;Achat;Achat;Juré;3e prix;3e prix;Juré, absent;Juré;3e prix;8e prix;2e prix;2e prix;6e prix;6e prix;6e prix;1er  prix;1er  prix;1er  prix;Indemnité 800.-;1er  prix;1er  prix;1er  prix;5e prix",,,"[array(['Brugger, Frédéric'], dtype=object)
 array(['Lozeron, Arthur'], dtype=object)
 array(['Jenny, Jean-Marc', 'Bühler, Bernard'], dtype=object)
 array(['Guex, Edmond', 'Guth, François', 'Kirchhoff, Gerd',
        'Reverdin, Dominique'], dtype=object)
 array(['Wenger, Peter', 'Wenger, Heidi', 'Raccoursier, Claude'],
       dtype=object)
 array(['Boschetti, Fonso'], dtype=object)
 array(['Urech, Jean-Daniel', 'Zentner, Hansjörg', 'Maillard, Marcel',
        'Maillard, Jacques', 'Isler, Heinz'], dtype=object)
 array(['Reimann, Edouard', 'Plüss, Werner', 'Vuarraz, Serge, coll.'],
       dtype=object)
 array(['Girod, Charles-André, coll.'], dtype=object)
 array(['Frey, Gilbert', 'Damay, Alfred', 'Burky, Marcel', 'Frey, Michel',
        'Montessuit, Jean', 'Luscher, Rodolphe'], dtype=object)           ]",True,[1422],953
954,"Concours pour la construction d'un pont sur le Rhin, jugement",,,,,,Basel,,Suisse,1902-01-02,,,"BTSR 1902 p.24 et chercher SBZ début 1902. Délibération du jury du 2 au 5 janvier 1902. 28 projets présentés, 15 ponts en pierre et 13 en ""pierre et fer"". 1er prix, auteur Buss, entr. Buss + Holzmann,"" Granit II"" 7'000.-; 2ème prix,"" Rhein"" 6'000.-; 3èmes prix, chacun 4'000.-. Les lauréats du 2ème prix se présentent ensemble à la fois comme auteurs du projet et comme entrepreneurs.Il y a trois 3ème prix:;1)""Stein und Eisen"", Ateliers d'Esslingen, Kübler, Eisenlohr & Weigle, Entr.: Baresel     ;2)""Porta Helvetiae Stein"", Holzmann, Lauter & Ritter, La Roche, Entr.: Holzmann, Buss ;3) ""St.Jakob I"", Zschokke, Soc.bâloise de constr., Travlos; Vischer, Huber & Sturm, Entrepreneurs:  Zschokke, Soc.bâloise de constr.  (BTSR 1902 p.24)","Buss, Albert & Cie;Zschokke, Conradin;Krohn;Visscher, A;Sté. bâloise de construction;Gutehoffnungshütte;Weigle &;Sturm & +;Zschokke, Conrad;Atelier de construction Esslingen;Travlos, E.;Visscher, A +;Baresel, C;Kübler;Holzmann, Phil. & Cie;Lauter &;La Roche, Emanuel;Eisenlohr &;Ritter &;Huber, P & +;von Thiersch, Friedrich;Faesch, Emil;Rosshändler, J +;Mast, J +","1er  prix;Concurrent probable;2e prix;2e prix;2e prix, 3e prix;2e prix;3e prix;3e prix;3e prix;3e prix;3e prix;3e prix;3e prix;3e prix;1er  prix, 3e prix;3e prix;Juré;3e prix;3e prix;3e prix;Juré;Juré;1er  prix;1er  prix",,,"[array(['Buss, Albert & Cie'], dtype=object)
 array(['Zschokke, Conradin'], dtype=object)
 array(['Krohn'], dtype=object) array(['Visscher, A'], dtype=object)
 array(['Sté. bâloise de construction'], dtype=object)
 array(['Gutehoffnungshütte'], dtype=object)
 array(['Weigle', 'Sturm &', 'Zschokke, Conrad'], dtype=object)
 array(['Atelier de construction Esslingen'], dtype=object)
 array(['Travlos, E.'], dtype=object)
 array(['Visscher, A', 'Baresel, C'], dtype=object)
 array(['Kübler'], dtype=object)
 array(['Holzmann, Phil. & Cie'], dtype=object)
 array(['Lauter', 'La Roche, Emanuel'], dtype=object)
 array(['Eisenlohr', 'Ritter', 'Huber, P &', 'von Thiersch, Friedrich'],
       dtype=object)
 array(['Faesch, Emil'], dtype=object)
 array(['Rosshändler, J, Mast, J'], dtype=object)]",True,[],954
955,"Concours pour l'école du quartier de l'Auge, à Fribourg",,,,,,Fribourg,,Suisse,1931-01-02,1931-03-01,,Ouvert entre les architectes fribourgeois ou domiciliés dans le canton depuis un an. Brève description du programme BTSR 1931 p.191,"Thévenaz, Charles;Brulhart, H;Reiners, Héribert;Jungo, Léon;Lateltin, Edmond;Indermühle, Karl","Juré, président;Juré;Juré;Juré;Juré;Juré",,,"[array(['Thévenaz, Charles'], dtype=object)
 array(['Brulhart, H'], dtype=object)
 array(['Reiners, Héribert'], dtype=object)
 array(['Jungo, Léon'], dtype=object)
 array(['Lateltin, Edmond'], dtype=object)
 array(['Indermühle, Karl'], dtype=object)]",False,[2017],955
956,"Concours pour l'école du quartier des Places, à Fribourg, jugement ",,"Arsenaux, route des",,,,Fribourg,,Fribourg,1938-02-02,1938-02-03,,"Extrait du rapport du jury BTSR 1938 p.117,149,162 et 175. Trente et un projets remis.  1er prix 2'000.-  2e prix 1'700.-  3e prix 1'400.-  4e prix 800.-  5e prix 600.-  6e prix 500.-","Rosset &;Matthey &;Diener, Joseph +;Colliard +;Tinguely, P;Haering, Jean-Charles;Vauthey, P;Reynold, Franz de","Invité, non primé;Invité, non primé;3e prix;3e prix;4e prix;5e prix;6e prix;1er  prix",,,"[array(['Rosset', 'Matthey', 'Diener, Joseph', 'Colliard', 'Tinguely, P'],
       dtype=object)
 array(['Haering, Jean-Charles'], dtype=object)
 array(['Vauthey, P'], dtype=object)
 array(['Reynold, Franz de'], dtype=object)]",True,[],956
957,"Concours pour l'aménagement général et construction de tribunes couvertes au Parc des Sports, à la Pontaise, à Lausanne","Sport,  loisirs et hygiène",,,,,Lausanne,,Suisse,1948-02-02,1948-05-03,Vaudois et domicilié,Ouvert par la Municipalité entre les architectes vaudois ou suisses domiciliés dans le canton depuis un an avant l' ouverture ou employés d'architectes ne participant pas moyennant autorisation écrite de l'employeur. Extrait du programme BTSR 1948 p.26. Les suppléants participent-ils au jury?,"Monneyron, Marc-Louis;Graber, Paul;Muzzolini, V;Tschumy, Adrien;Baumgartner, A;Loup, Robert;Bonnard, René;Rivier, E;Jaccard, P.-H;Bussey, A;Laverrière, Alphonse","Juré;Juré;Juré;Juré;Juré, suppléant;3e prix;2e prix;Juré, suppléant;;Juré;",0002.03.0122,,"[array(['Monneyron, Marc-Louis'], dtype=object)
 array(['Graber, Paul'], dtype=object)
 array(['Muzzolini, V'], dtype=object)
 array(['Tschumy, Adrien'], dtype=object)
 array(['Baumgartner, A'], dtype=object)
 array(['Loup, Robert'], dtype=object)
 array(['Bonnard, René'], dtype=object) array(['Rivier, E'], dtype=object)
 array(['Jaccard, P.-H'], dtype=object) array(['Bussey, A'], dtype=object)
 array(['Laverrière, Alphonse'], dtype=object)]",False,[1065],957
958,"Concours pour le pont sur la Chandelard (autoroute du Léman N9), jugement",,,,,,Lausanne,,Vaud,1970-02-02,,,"Pas d'autre indication dans le BTSR (autres prix, montants des primes, nombre de projets remis)","Burri, F &;Kalbermatten, G de &;Giovanola, Frères SA",5e prix;5e prix;3e prix,,,"[array(['Burri, F', 'Kalbermatten, G de', 'Giovanola, Frères SA'],
       dtype=object)                                              ]",True,[492],958
959,"Concours pour deux projets de Station-Abris à construire l'une à Chantepoulet, l'autre place Longemalle, à Genève, jugement",,"Chantepoulet, rue de","Longemalle, place",,,Genève,,Genève,1910-03-02,,,"Rapport du jury BTSR p.91 et 103. 74 projets reçus, tous dans les délais, 38 pour Chantepoulet et 36 pour Longemalle. Dans l'ordre, comme ci-dessus:;1) Chantepoulet 1er prix 250.-  2e prix 125.-  3e prix 75.- Une mention;2) Longemalle    1er prix 200.-  2e prix 100.-  3e prix 50.- Deux mentions;Revilliod & Turrettini construiront l'abri rue Chantepoulet (inauguration 1915). L'auteur place Longemalle n'est pas indiqué par le BTSR et l'INSA; abri démoli","Billon, Lilly Ellen;Miège, Gabriel;Bulgaroni, Henri;Brossin, Paul;Turrettini, Maurice &;Fatio, Edmond +;Revilliod, Guillaume &;Levarel, Alfred +;Randon, H;Fröhlicher, Ernst &;Fröhlicher, Carl &",2e prix;2e prix;3e prix;3e prix;1er  prix;2e prix;1er  prix;1er  prix;Mention honorable;3e prix ex aequo;3e prix ex aequo,,,"[array(['Billon, Lilly Ellen'], dtype=object)
 array(['Miège, Gabriel'], dtype=object)
 array(['Bulgaroni, Henri'], dtype=object)
 array(['Brossin, Paul'], dtype=object)
 array(['Turrettini, Maurice', 'Fatio, Edmond', 'Revilliod, Guillaume',
        'Levarel, Alfred', 'Randon, H'], dtype=object)
 array(['Fröhlicher, Ernst, Fröhlicher, Carl'], dtype=object)]",True,[1235],959
960,Concours pour petites villas et maisons familiales à Genève,,,,,,Genève,,Suisse,1935-03-02,1935-04-02,Cantonal,"Ouvert par le Département des Travaux publics (en collaboration avec la Chambre syndicale des entrepreneurs de charpente, menuiserie et parqueterie du canton de Genève et la Fédération genevoise des Corporations, groupe patronal du bois) entre les architectes et techniciens de ""nationalité"" genevoise ou suisse domiciliés à Genève avant le 1er janvier 1935.","Bernoulli, Hans;Rohn, Roland;Bovy, Gabriel;Meyer, Frédéric;Duret, F;Braillard, Maurice;Vierne, André;Favarger, Jacques",Juré;Juré;Juré;Juré;Juré;2e prix;Collaborateur;Juré,,,"[array(['Bernoulli, Hans'], dtype=object)
 array(['Rohn, Roland'], dtype=object)
 array(['Bovy, Gabriel'], dtype=object)
 array(['Meyer, Frédéric'], dtype=object)
 array(['Duret, F'], dtype=object)
 array(['Braillard, Maurice'], dtype=object)
 array(['Vierne, André'], dtype=object)
 array(['Favarger, Jacques'], dtype=object)]",False,[1265],960
961,"Concours pour des maisons destinées au logement du personnel de l'usine de Verbois, à Genève, jugement",,,,,,Russin,,Suisse,1939-03-02,1939-03-03,,Extrait du rapport du jury BTSR 1939 p. 209. Trente-huit projets remis. 1er prix 2'400.-  Deux 2e prix ex-aequo 1'100.-  Deux 3e prix ex-aequo 700.-Remarques à propos du concours par J.-P. Vouga BTSR 1939 p. 215,"Rigollet, Claude +;Champod, Jean +;Schürch, Jean-H;Braillard, Pierre +;Braillard, Maurice +;Tréand, Louis +;Atelier d'architectes genevois;Odier, Ernest +;Picot, Jean +",1er  prix;1er  prix;2e prix ex aequo;1er  prix;Primé;3e prix ex aequo;1er prix ex aequo;3e prix ex aequo;3e prix ex aequo,,,"[array(['Rigollet, Claude', 'Champod, Jean', 'Schürch, Jean-H'],
       dtype=object)
 array(['Braillard, Pierre', 'Braillard, Maurice', 'Tréand, Louis',
        ""Atelier d'architectes genevois""], dtype=object)
 array(['Odier, Ernest, Picot, Jean'], dtype=object)]",True,[],961
